Reference,DOI,Final_Alginate_Conc_(%w/v),Final_Gelatin_Conc_(%w/v),Final_GelMA_Conc_(%w/v),Final_Hyaluronic_Acid_Conc_(%w/v),Final_MeHA_Conc_(%w/v),Final_NorHA_Conc_(%w/v),Final_Fibroin/Fibrinogen_Conc_(%w/v),Final_P127_Conc_(%w/v),Final_Collagen_Conc_(%w/v),Final_Chitosan_Conc_(%w/v),Final_CS-AEMA_Conc_(%w/v),Final_TCP_Conc_(%w/v),Final_Gellan_Conc_(%w/v),Final_Nano/Methycellulose_Conc_(%w/v),Final_PEGTA_Conc_(%w/v),Final_PEGMA_Conc_(%w/v),Final_PEGDA_Conc_(%w/v),Final_Agarose_Conc_(%w/v),CaCl2_Conc_(mM),NaCl2_Conc_(mM),BaCl2_Conc_(mM),SrCl2_Conc_(mM),Physical_Crosslinking_Durantion_(s),Photocrosslinking_Duration_(s),Extrusion_Pressure (kPa),Extrusion_Rate_Lengthwise_(mm/s),Extrusion_Rate_Volume-wise_(mL/s),Nozzle_Movement_Speed_(mm/s),Inner_Nozzle_Outer_Diameter_(µm),Outer_Nozzle_Inner_Diameter_(µm),Fiber_Diameter_(µm),Fiber_Spacing_(µm),Cell_Density_(cells/mL),Syringe_Temperature_(°C),Substrate_Temperature_(°C),Days_Observed,Cell_Culture_Medium_Used?,DI_Water_Used?,Precrosslinking_Solution_Used?,Saline_Solution_Used?,EtOH_Solution_Used?,Photoinitiator_Used?,Enzymatic_Crosslinker_Used?,Matrigel_Used?,Conical_or_Straight_Nozzle,Primary/Not_Primary,Viability_at_time_of_observation_(%),Acceptable_Viability_(Yes/No),Acceptable_Pressure_(Yes/No)
Ouyang et al. 2017,10.1002/adma.201604983,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,,,0.00667,5,0,337,578.47,,2500000,,,0,N,Y,N,N,N,Y,N,N,S,Not_Primary,96.9,Y,Y
Ouyang et al. 2017,10.1002/adma.201604983,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,,,0.00667,5,0,337,,,2500000,,,1,N,Y,N,N,N,Y,N,N,S,Not_Primary,87,Y,Y
Ouyang et al. 2017,10.1002/adma.201604983,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,,,0.00667,5,0,337,608.07,,2500000,,,7,N,Y,N,N,N,Y,N,N,S,Not_Primary,87,Y,Y
Ouyang et al. 2017,10.1002/adma.201604983,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,,,0.00667,5,0,337,582.51,,2500000,,,0,N,Y,N,N,N,Y,N,N,S,Not_Primary,95,Y,Y
Ouyang et al. 2017,10.1002/adma.201604983,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,,,0.00667,5,0,337,,,2500000,,,1,N,Y,N,N,N,Y,N,N,S,Not_Primary,95.7,Y,Y
Ouyang et al. 2017,10.1002/adma.201604983,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,,,0.00667,5,0,337,505,,2500000,,,7,N,Y,N,N,N,Y,N,N,S,Not_Primary,96.1,Y,Y
Ouyang et al. 2017,10.1002/adma.201604983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,120,,,0.00667,5,0,337,654.69,,2500000,,,0,N,Y,N,N,N,Y,N,N,S,Not_Primary,96.1,Y,Y
Ouyang et al. 2017,10.1002/adma.201604983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,120,,,0.00667,5,0,337,,,2500000,,,1,N,Y,N,N,N,Y,N,N,S,Not_Primary,86.3,Y,Y
Ouyang et al. 2017,10.1002/adma.201604983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,120,,,0.00667,5,0,337,555.38,,2500000,,,7,N,Y,N,N,N,Y,N,N,S,Not_Primary,87.8,Y,Y
Ouyang et al. 2017,10.1002/adma.201604983,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,,,0.00667,5,0,337,417.2,,2500000,,,0,N,Y,N,N,N,Y,N,N,S,Not_Primary,96.1,Y,Y
Ouyang et al. 2017,10.1002/adma.201604983,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,,,0.00667,5,0,337,,,2500000,,,1,N,Y,N,N,N,Y,N,N,S,Not_Primary,92.6,Y,Y
Ouyang et al. 2017,10.1002/adma.201604983,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,,,0.00667,5,0,337,410.53,,2500000,,,7,N,Y,N,N,N,Y,N,N,S,Not_Primary,91.3,Y,Y
Kosik-Koziol et al. 2019,10.1088/1758-5090/ab15cb,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,0,0,,30,,,8.5E-05,3.9,0,250,96.66,,10000000,,,0.125,N,Y,N,N,N,Y,N,N,S,Primary,85,Y,Y
Kosik-Koziol et al. 2019,10.1088/1758-5090/ab15cb,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,0,0,,30,,,8.5E-05,3.9,0,250,113.42,,10000000,,,7,N,Y,N,N,N,Y,N,N,S,Primary,81.4,Y,Y
Kosik-Koziol et al. 2019,10.1088/1758-5090/ab15cb,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,0,0,,30,,,8.5E-05,3.9,0,250,190.72,,10000000,,,21,N,Y,N,N,N,Y,N,N,S,Primary,79.3,N,N
Kosik-Koziol et al. 2019,10.1088/1758-5090/ab15cb,4,0,6,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,190,0,0,0,,30,,,8.5E-05,3.9,0,250,100.82,,10000000,,,0.125,N,Y,N,N,N,Y,N,N,S,Primary,83.6,Y,Y
Kosik-Koziol et al. 2019,10.1088/1758-5090/ab15cb,4,0,6,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,190,0,0,0,,30,,,8.5E-05,3.9,0,250,140.6,,10000000,,,7,N,Y,N,N,N,Y,N,N,S,Primary,80,Y,Y
Kosik-Koziol et al. 2019,10.1088/1758-5090/ab15cb,4,0,6,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,190,0,0,0,,30,,,8.5E-05,3.9,0,250,233.45,,10000000,,,21,N,Y,N,N,N,Y,N,N,S,Primary,79,N,N
Akkineni et al. 2016,10.1088/1758-5090/8/4/045001,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,900,0,20,,,,0,200,355.88,,500000,35,,1,Y,N,N,N,N,N,N,N,S,Primary,66.2,N,N
Akkineni et al. 2016,10.1088/1758-5090/8/4/045001,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,900,0,20,,,,0,200,,,500000,35,,7,Y,N,N,N,N,N,N,N,S,Primary,68.8,N,N
Akkineni et al. 2016,10.1088/1758-5090/8/4/045001,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,900,0,20,,,,0,200,,,500000,35,,14,Y,N,N,N,N,N,N,N,S,Primary,83.3,Y,Y
Akkineni et al. 2016,10.1088/1758-5090/8/4/045001,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,900,0,20,,,,0,200,608.54,,500000,35,,21,Y,N,N,N,N,N,N,N,S,Primary,84.5,Y,Y
Bendtsen et al. 2017,10.1002/jbm.a.36036,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,0,,,,,0,430,,,250000,25,25,0,Y,N,N,N,N,N,N,N,C,Primary,95.6,Y,Y
Bendtsen et al. 2017,10.1002/jbm.a.36036,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3600,0,,,,,0,430,,,250000,25,25,0,Y,N,N,N,N,N,N,N,C,Primary,77.5,N,N
Bendtsen et al. 2017,10.1002/jbm.a.36036,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,0,,,,,0,430,,,250000,25,25,0,Y,N,N,N,N,N,N,N,C,Primary,60.1,N,N
Bendtsen et al. 2017,10.1002/jbm.a.36036,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3600,0,,,,,0,430,,,250000,25,25,0,Y,N,N,N,N,N,N,N,C,Primary,22.5,N,N
Blaeser et al. 2013,10.1089/biores.2013.0031,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,2.75,0,,100,,2000000,25,25,0,Y,N,N,N,N,N,N,N,C,Not_Primary,96,Y,Y
Blaeser et al. 2013,10.1089/biores.2013.0031,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,2.75,0,,100,,2000000,36,22,1,Y,N,N,N,N,N,N,N,C,Not_Primary,96,Y,Y
Blaeser et al. 2013,10.1089/biores.2013.0031,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,2.75,0,,100,,2000000,36,22,4,Y,N,N,N,N,N,N,N,C,Not_Primary,99,Y,Y
Blaeser et al. 2013,10.1089/biores.2013.0031,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,2.75,0,,100,,2000000,36,22,7,Y,N,N,N,N,N,N,N,C,Not_Primary,97,Y,Y
Blaeser et al. 2016,10.1002/adhm.201500677,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,,,,0,150,,,1000000,20,22,0,N,Y,N,N,N,N,N,N,S,Not_Primary,96,Y,Y
Blaeser et al. 2016,10.1002/adhm.201500677,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,,,,0,150,,,1000000,20,22,0,N,Y,N,N,N,N,N,N,S,Not_Primary,91,Y,Y
Blaeser et al. 2016,10.1002/adhm.201500677,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,,,,0,150,,,1000000,20,22,0,N,Y,N,N,N,N,N,N,S,Not_Primary,76,N,N
Blaeser et al. 2016,10.1002/adhm.201500677,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,,,,0,150,,,1000000,20,22,0,N,Y,N,N,N,N,N,N,S,Primary,94,Y,Y
Blaeser et al. 2016,10.1002/adhm.201500677,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,,,,0,150,,,1000000,20,22,0,N,Y,N,N,N,N,N,N,S,Primary,92,Y,Y
Blaeser et al. 2016,10.1002/adhm.201500677,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,,,,0,150,,,1000000,20,22,0,N,Y,N,N,N,N,N,N,S,Primary,86,Y,Y
Blaeser et al. 2016,10.1002/adhm.201500677,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,,,,0,150,,,1000000,20,22,7,N,Y,N,N,N,N,N,N,S,Primary,95,Y,Y
Blaeser et al. 2016,10.1002/adhm.201500677,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,,,,0,150,,,1000000,20,22,7,N,Y,N,N,N,N,N,N,S,Primary,95,Y,Y
Blaeser et al. 2016,10.1002/adhm.201500677,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,,,,0,150,,,1000000,20,22,7,N,Y,N,N,N,N,N,N,S,Primary,95,Y,Y
Chang et al. 2008 (a),10.1089/ten.tec.2007.0392,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.65266,,,,0,250,,,1000000,22,22,1,Y,N,N,N,N,N,N,N,C,Not_Primary,82,Y,Y
Chang et al. 2008 (a),10.1089/ten.tec.2007.0392,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,0,0,0,,0,9.65266,,,,0,250,,,1000000,22,22,1,Y,N,N,N,N,N,N,N,C,Not_Primary,79,N,N
Chang et al. 2008 (a),10.1089/ten.tec.2007.0392,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.65266,,,,0,250,,,1000000,22,22,2,Y,N,N,N,N,N,N,N,C,Not_Primary,84,Y,Y
Chang et al. 2008 (a),10.1089/ten.tec.2007.0392,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,0,0,0,,0,9.65266,,,,0,250,,,1000000,22,22,2,Y,N,N,N,N,N,N,N,C,Not_Primary,80,Y,Y
Chang et al. 2008 (a),10.1089/ten.tec.2007.0392,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.65266,,,,0,250,,,1000000,22,22,3,Y,N,N,N,N,N,N,N,C,Not_Primary,85,Y,Y
Chang et al. 2008 (a),10.1089/ten.tec.2007.0392,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,9.65266,,,,0,250,,,1000000,22,22,3,Y,N,N,N,N,N,N,N,C,Not_Primary,82,Y,Y
Chang et al. 2008 (b),10.1089/ten.a.2007.0004,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,275.79,,,,0,150,,,1000000,22,22,0,Y,N,N,N,N,N,N,N,C,Not_Primary,43.6,N,N
Chang et al. 2008 (b),10.1089/ten.a.2007.0004,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,275.79,,,,0,250,,,1000000,22,22,0,Y,N,N,N,N,N,N,N,C,Not_Primary,54.2,N,N
Chang et al. 2008 (b),10.1089/ten.a.2007.0004,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,275.79,,,,0,400,,,1000000,22,22,0,Y,N,N,N,N,N,N,N,C,Not_Primary,53.6,N,N
Chang et al. 2008 (b),10.1089/ten.a.2007.0004,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,275.79,,,,0,150,,,1000000,22,22,0.25,Y,N,N,N,N,N,N,N,C,Not_Primary,46,N,N
Chang et al. 2008 (b),10.1089/ten.a.2007.0004,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,275.79,,,,0,250,,,1000000,22,22,0.25,Y,N,N,N,N,N,N,N,C,Not_Primary,54,N,N
Chang et al. 2008 (b),10.1089/ten.a.2007.0004,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,275.79,,,,0,400,,,1000000,22,22,0.25,Y,N,N,N,N,N,N,N,C,Not_Primary,57.2,N,N
Chang et al. 2008 (b),10.1089/ten.a.2007.0004,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,275.79,,,,0,150,,,1000000,22,22,1,Y,N,N,N,N,N,N,N,C,Not_Primary,66.2,N,N
Chang et al. 2008 (b),10.1089/ten.a.2007.0004,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,275.79,,,,0,250,,,1000000,22,22,1,Y,N,N,N,N,N,N,N,C,Not_Primary,81.2,Y,Y
Chang et al. 2008 (b),10.1089/ten.a.2007.0004,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,275.79,,,,0,400,,,1000000,22,22,1,Y,N,N,N,N,N,N,N,C,Not_Primary,85,Y,Y
Chang et al. 2008 (b),10.1089/ten.a.2007.0004,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,34.4738,,,,0,150,,,1000000,22,22,0,Y,N,N,N,N,N,N,N,C,Not_Primary,67.2,N,N
Chang et al. 2008 (b),10.1089/ten.a.2007.0004,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,68.9476,,,,0,150,,,1000000,22,22,0,Y,N,N,N,N,N,N,N,C,Not_Primary,67.4,N,N
Chang et al. 2008 (b),10.1089/ten.a.2007.0004,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,137.895,,,,0,150,,,1000000,22,22,0,Y,N,N,N,N,N,N,N,C,Not_Primary,51.6,N,N
Chang et al. 2008 (b),10.1089/ten.a.2007.0004,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,275.79,,,,0,150,,,1000000,22,22,0,Y,N,N,N,N,N,N,N,C,Not_Primary,42.8,N,N
Chang et al. 2008 (b),10.1089/ten.a.2007.0004,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,34.4738,,,,0,150,,,1000000,22,22,0.25,Y,N,N,N,N,N,N,N,C,Not_Primary,65.2,N,N
Chang et al. 2008 (b),10.1089/ten.a.2007.0004,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,68.9476,,,,0,150,,,1000000,22,22,0.25,Y,N,N,N,N,N,N,N,C,Not_Primary,66.6,N,N
Chang et al. 2008 (b),10.1089/ten.a.2007.0004,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,137.895,,,,0,150,,,1000000,22,22,0.25,Y,N,N,N,N,N,N,N,C,Not_Primary,59,N,N
Chang et al. 2008 (b),10.1089/ten.a.2007.0004,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,275.79,,,,0,150,,,1000000,22,22,0.25,Y,N,N,N,N,N,N,N,C,Not_Primary,44.8,N,N
Chang et al. 2008 (b),10.1089/ten.a.2007.0004,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,34.4738,,,,0,150,,,1000000,22,22,1,Y,N,N,N,N,N,N,N,C,Not_Primary,75.8,N,N
Chang et al. 2008 (b),10.1089/ten.a.2007.0004,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,68.9476,,,,0,150,,,1000000,22,22,1,Y,N,N,N,N,N,N,N,C,Not_Primary,68,N,N
Chang et al. 2008 (b),10.1089/ten.a.2007.0004,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,137.895,,,,0,150,,,1000000,22,22,1,Y,N,N,N,N,N,N,N,C,Not_Primary,65.8,N,N
Chang et al. 2008 (b),10.1089/ten.a.2007.0004,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,275.79,,,,0,150,,,1000000,22,22,1,Y,N,N,N,N,N,N,N,C,Not_Primary,64.6,N,N
Dai et al. 2016,10.1088/1758-5090/8/4/045005,1,10,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,260,277.7372,295.5958,2000000,25,4,0,Y,N,N,N,N,N,N,N,,Not_Primary,86.92,Y,Y
Duin et al. 2019,10.1002/adhm.201801631,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,70,600,0,45,,,10,0,840,763.25,1449.67,,22,22,1,Y,N,N,N,N,N,N,N,C,Primary,74.26,N,N
Duin et al. 2019,10.1002/adhm.201801631,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,70,600,0,45,,,10,0,840,763.25,1449.67,,22,22,4,Y,N,N,N,N,N,N,N,C,Primary,76.17,N,N
Duin et al. 2019,10.1002/adhm.201801631,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,70,600,0,45,,,10,0,840,763.25,1449.67,,22,22,7,Y,N,N,N,N,N,N,N,C,Primary,82.98,Y,Y
Emmermacher et al. 2020,10.1088/1758-5090/ab7553,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,150,,,,0,840,,,10000000,22,22,0,Y,N,N,N,N,N,N,N,C,Not_Primary,60.38,N,N
Emmermacher et al. 2020,10.1088/1758-5090/ab7553,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,300,,,,0,840,,,10000000,22,22,0,Y,N,N,N,N,N,N,N,C,Not_Primary,60.38,N,N
Emmermacher et al. 2020,10.1088/1758-5090/ab7553,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,150,,,,0,250,,,10000000,22,22,0,Y,N,N,N,N,N,N,N,C,Not_Primary,49.43,N,N
Emmermacher et al. 2020,10.1088/1758-5090/ab7553,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,300,,,,0,250,,,10000000,22,22,0,Y,N,N,N,N,N,N,N,C,Not_Primary,44.91,N,N
Faulkner-Jones et al. 2015,10.1088/1758-5090/7/4/044102,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,55,0,120,0,50,,,,0,101.6,,,1000000,22,22,0.0208,Y,N,N,N,N,N,N,N,S,Primary,91.57,Y,Y
Faulkner-Jones et al. 2015,10.1088/1758-5090/7/4/044102,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,55,0,120,0,70,,,,0,101.6,,,1000000,22,22,0.0208,Y,N,N,N,N,N,N,N,S,Primary,91.05,Y,Y
Faulkner-Jones et al. 2015,10.1088/1758-5090/7/4/044102,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,55,0,120,0,100,,,,0,101.6,,,1000000,22,22,0.0208,Y,N,N,N,N,N,N,N,S,Primary,79.69,N,N
Faulkner-Jones et al. 2015,10.1088/1758-5090/7/4/044102,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,55,0,120,0,140,,,,0,101.6,,,1000000,22,22,0.0208,Y,N,N,N,N,N,N,N,S,Primary,73.84,N,N
Faulkner-Jones et al. 2015,10.1088/1758-5090/7/4/044102,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,55,0,120,0,50,,,,0,101.6,,,1000000,22,22,0.0208,Y,N,N,N,N,N,N,N,S,Primary,71.6,N,N
Faulkner-Jones et al. 2015,10.1088/1758-5090/7/4/044102,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,55,0,120,0,70,,,,0,101.6,,,1000000,22,22,0.0208,Y,N,N,N,N,N,N,N,S,Primary,79.35,N,N
Faulkner-Jones et al. 2015,10.1088/1758-5090/7/4/044102,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,55,0,120,0,100,,,,0,101.6,,,1000000,22,22,0.0208,Y,N,N,N,N,N,N,N,S,Primary,71.43,N,N
Faulkner-Jones et al. 2015,10.1088/1758-5090/7/4/044102,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,55,0,120,0,140,,,,0,101.6,,,1000000,22,22,0.0208,Y,N,N,N,N,N,N,N,S,Primary,60.93,N,N
Faulkner-Jones et al. 2015,10.1088/1758-5090/7/4/044102,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,55,0,120,0,60,,,,0,101.6,,,1000000,22,22,0.0208,Y,N,N,N,N,N,N,N,S,Primary,86.93,Y,Y
Faulkner-Jones et al. 2015,10.1088/1758-5090/7/4/044102,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,55,0,120,0,60,,,,0,101.6,,,1000000,22,22,0.0208,Y,N,N,N,N,N,N,N,S,Primary,62.75,N,N
"Freeman and Kelly, 2017",10.1038/s41598-017-17286-1,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,8,0,250,,4000,20000000,22,22,1,Y,N,Y,N,N,N,N,N,C,Primary,85.02,Y,Y
"Freeman and Kelly, 2017",10.1038/s41598-017-17286-1,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,8,0,250,,4000,20000000,22,22,1,Y,N,Y,N,N,N,N,N,C,Primary,87.025,Y,Y
Giuseppe et al. 2018,10.1016/j.jmbbm.2017.12.018,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480,0,103,,,,0,230,350,2000,,37,22,0.042,Y,N,N,N,N,N,N,N,,Primary,95.7,Y,Y
Giuseppe et al. 2018,10.1016/j.jmbbm.2017.12.018,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480,0,172,,,,0,230,370,2000,,37,22,0.042,Y,N,N,N,N,N,N,N,,Primary,89,Y,Y
Giuseppe et al. 2018,10.1016/j.jmbbm.2017.12.018,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480,0,193,,,,0,230,310,2000,,37,22,0.042,Y,N,N,N,N,N,N,N,,Primary,92.3,Y,Y
Izadifar et al. 2016,10.1089/ten.tec.2015.0307,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,0,10,,,25,0,200,,,5680000,10,22,0,Y,N,N,N,N,N,N,N,C,Primary,83.39,Y,Y
Izadifar et al. 2016,10.1089/ten.tec.2015.0307,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,0,10,,,25,0,200,,,5680000,10,22,1,Y,N,N,N,N,N,N,N,C,Primary,84.17,Y,Y
Izadifar et al. 2016,10.1089/ten.tec.2015.0307,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,0,10,,,25,0,200,,,5680000,10,22,3,Y,N,N,N,N,N,N,N,C,Primary,84.8,Y,Y
Izadifar et al. 2016,10.1089/ten.tec.2015.0307,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,0,10,,,25,0,200,,,5680000,10,22,7,Y,N,N,N,N,N,N,N,C,Primary,86.83,Y,Y
Izadifar et al. 2016,10.1089/ten.tec.2015.0307,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,0,10,,,25,0,200,,,5680000,10,22,14,Y,N,N,N,N,N,N,N,C,Primary,90.75,Y,Y
Izadifar et al. 2016,10.1089/ten.tec.2015.0307,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,0,10,,,25,0,200,,,5680000,10,22,0,Y,N,N,N,N,N,N,N,C,Primary,84.33,Y,Y
Izadifar et al. 2016,10.1089/ten.tec.2015.0307,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,0,10,,,25,0,200,,,5680000,10,22,1,Y,N,N,N,N,N,N,N,C,Primary,78.68,N,N
Izadifar et al. 2016,10.1089/ten.tec.2015.0307,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,0,10,,,25,0,200,,,5680000,10,22,3,Y,N,N,N,N,N,N,N,C,Primary,79.15,N,N
